errors_7d,sessions_7d,failure_rate_7d,error_OtherError,supplier_A789408E,error_InternalError,error_ReaderFailure,supplier_F51175CB,supplier_03C1B10B,supplier_32EE10C9
0.0,9.0,0.0,0.0,False,4197.0,0.0,False,False,False
0.0,9.0,0.0,261.0,False,0.0,0.0,False,False,False
4.0,10.0,0.0,669.0,False,0.0,0.0,False,False,False
8.0,16.0,0.0,0.0,False,142.0,0.0,False,False,False
1.0,14.0,0.7142857142857143,0.0,False,0.0,0.0,False,False,False
9.0,23.0,1.7142857142857142,0.0,False,805.0,0.0,False,False,False
9.0,23.0,1.7142857142857142,525.0,False,0.0,0.0,False,False,False
7.0,24.0,1.8571428571428568,0.0,False,0.0,0.0,False,False,False
0.0,3.0,0.0,0.0,False,3983.0,0.0,False,False,False
0.0,3.0,0.0,174.0,False,0.0,0.0,False,False,False
8.0,19.0,0.5714285714285714,0.0,False,189.0,0.0,False,False,False
8.0,19.0,0.5714285714285714,0.0,False,0.0,0.0,False,False,False
6.0,21.0,0.0,0.0,False,0.0,0.0,False,False,False
9.0,18.0,0.4285714285714285,716.0,False,0.0,0.0,False,False,False
0.0,0.0,0.0,0.0,False,2192.0,0.0,False,False,False
0.0,0.0,0.0,720.0,False,0.0,0.0,False,False,False
9.0,35.0,2.0,194.0,False,0.0,0.0,False,False,False
9.0,53.0,3.2857142857142856,0.0,False,202.0,0.0,False,False,False
7.0,27.0,2.142857142857143,0.0,False,0.0,0.0,False,False,False
7.0,27.0,2.142857142857143,205.0,False,0.0,0.0,False,False,False
10.0,9.0,0.0,0.0,False,0.0,0.0,False,False,False
6.0,14.0,0.1428571428571428,0.0,False,0.0,0.0,False,False,False
6.0,14.0,0.1428571428571428,0.0,False,279.0,0.0,False,False,False
0.0,1.0,0.0,0.0,False,746.0,0.0,False,False,False
0.0,1.0,0.0,200.0,False,0.0,0.0,False,False,False
1.0,8.0,0.0,0.0,False,0.0,0.0,False,False,False
7.0,23.0,0.7142857142857143,0.0,False,168.0,0.0,False,False,False
7.0,23.0,0.7142857142857143,0.0,False,0.0,0.0,False,False,False
1.0,15.0,0.0,0.0,False,0.0,0.0,False,False,False
0.0,4.0,0.0,7299.0,False,0.0,0.0,False,False,False
0.0,4.0,0.0,0.0,False,310.0,0.0,False,False,False
0.0,5.0,0.0,0.0,False,5710.0,0.0,False,False,False
7.0,11.0,0.5714285714285714,0.0,True,0.0,0.0,False,False,False
8.0,11.0,0.2857142857142857,0.0,False,113.0,0.0,False,False,False
0.0,11.0,0.2857142857142857,293.0,True,0.0,0.0,False,False,False
2.0,14.0,0.4285714285714285,394.0,True,0.0,0.0,False,False,False
0.0,2.0,0.0,0.0,False,5051.0,0.0,False,False,False
0.0,2.0,0.0,0.0,False,0.0,141.0,False,False,False
5.0,12.0,0.2857142857142857,174.0,False,0.0,0.0,False,False,False
0.0,7.0,0.0,365.0,False,0.0,0.0,False,False,False
10.0,13.0,0.0,0.0,False,244.0,0.0,False,False,False
9.0,29.0,0.0,0.0,False,0.0,0.0,False,False,False
6.0,10.0,0.1428571428571428,0.0,False,293.0,0.0,False,False,False
0.0,10.0,0.0,0.0,False,586.0,0.0,False,False,False
0.0,1.0,0.0,0.0,False,0.0,0.0,False,False,False
2.0,23.0,0.0,240.0,True,0.0,0.0,False,False,False
3.0,12.0,0.0,0.0,False,0.0,0.0,False,False,False
11.0,29.0,0.0,0.0,False,229.0,0.0,False,False,False
0.0,6.0,0.25,0.0,False,0.0,0.0,False,False,False
0.0,6.0,0.25,0.0,False,237.0,0.0,False,False,False
3.0,0.0,0.0,0.0,False,834.0,0.0,False,False,False
6.0,13.0,0.4285714285714285,0.0,False,0.0,0.0,False,False,False
8.0,16.0,0.0,462.0,False,0.0,0.0,False,False,False
